medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
6B96DDFB5A50B96E72F5808ABE778B17,C2E117BB5F8D9107525AD234B7195EBA,VTS,1,,2013-02-01 11:58:00,2013-02-01 12:23:00,1,1500,2.57,-74.00544,40.720329,-73.985741,40.753078
72F95914C2F6FBFEAAB9FBFFE70CFE17,4BEB24CCA26E67677A99FF261902F89C,VTS,1,,2013-02-01 17:37:00,2013-02-01 17:55:00,1,1080,2.63,-73.958839,40.774948,-73.982025,40.769928
171FD91CBF0D6FABF499A9452A4950D5,D6078616ED29C37B77E09CA940596D17,VTS,1,,2013-02-01 17:54:00,2013-02-01 17:57:00,1,180,.52,-73.992134,40.764061,-73.98497,40.761868
474D87BCD7931FFCCE4099D91F4BDF4E,1703626CD9C286851BFE5DD99FC0088F,VTS,1,,2013-02-01 17:45:00,2013-02-01 17:58:00,1,780,2.43,-73.888039,40.767513,-73.919525,40.75396
1E437328B89673A8CC528DF4A74636C3,192F96910AE2D8AA84B80C2D78ACB6A2,VTS,1,,2013-02-01 17:29:00,2013-02-01 17:35:00,1,360,1.48,-73.973808,40.764236,-73.980576,40.773258
397FA09C1274E4EA4FC8B54C65223F84,4EC95667857975352A4A162928BF1B03,VTS,1,,2013-02-01 17:13:00,2013-02-01 17:19:00,2,360,.77,-73.968735,40.764561,-73.975151,40.755508
F0DF89ED5F18E006858A886354673224,0FA8C50583B7DDD1720D6D789B85C84B,VTS,1,,2013-02-01 18:08:00,2013-02-01 18:24:00,1,960,1.86,-73.983345,40.73909,-74.008102,40.738312
AAAE1A989C13FF35F64E5E42EAB8C8AD,798C83090A733CBE58EA450F7732E67E,VTS,1,,2013-02-01 16:55:00,2013-02-01 17:07:00,1,720,3.34,-73.988045,40.718658,-73.952477,40.725208
E4E0215DA02EE4203FBA1F0D12934A8C,BA5A52C2C5C2F62C51AFD3F27D649ADC,VTS,1,,2013-02-01 17:25:00,2013-02-01 17:38:00,1,780,2.26,-73.963791,40.762005,-73.978889,40.740692
11C762E7363639C5C67E676B02713DF6,AAA9FD5F8D3B255AE148F78D8408C3EB,VTS,1,,2013-02-01 17:21:00,2013-02-01 17:33:00,1,720,1.33,-73.977257,40.749596,-73.992035,40.747635
253B1EC6A277BD2E2DC35C5166DB6F37,E9728B425B873EDDA48A00AD60F004A0,VTS,1,,2013-02-01 17:30:00,2013-02-01 17:58:00,1,1680,10.67,-73.969604,40.758099,-73.862167,40.767277
331A121299C90E1AA42F51257CE26230,4EE5280C84B5F9AE00A8D51A20DE0FC9,VTS,1,,2013-02-01 17:10:00,2013-02-01 17:21:00,1,660,5.41,-74.012627,40.701675,-73.974297,40.750851
7CA54C91904E6E0D9A538559BE136E10,0A8E872674B7A77C776380A36B64A3C0,VTS,1,,2013-02-01 18:05:00,2013-02-01 18:10:00,1,300,1.25,-73.960312,40.761971,-73.948418,40.773163
